# negative-coverage baseline ledger (debt D7 — docs/verdict_policy.md §6).
# Each line is a `CASE_ID|reason` whose NEG_ROW currently lands on
# `inconclusive` (VACUOUS — proves nothing via fail). Generated by
# tools/negative_coverage_audit.py --write-baseline. A fix (re-role,
# parameterize, re-point, or retire) MUST delete the row's line here too;
# negative_coverage_audit.py --check fails on a stale or new entry.
ICMPv4_ERROR_02|no_parameter_problem_within_listen_window
TCP_HEADER_09|no_dut_handshake_ack
TCP_HEADER_11|no_dut_handshake_ack
TCP_MSS_OPTIONS_01|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_02|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_03|no_dut_syn_ack_within_listen_window
TCP_MSS_OPTIONS_05|no_dut_ack_to_synack_with_ilen0_mss
TCP_MSS_OPTIONS_06|no_dut_data_segment_phase1_mv200
TCP_MSS_OPTIONS_09|no_dut_data_segment_phase1_mv200
TCP_MSS_OPTIONS_10|no_dut_data_segment_within_listen_window
TCP_MSS_OPTIONS_11|no_dut_syn_with_mss_option
TCP_MSS_OPTIONS_12|no_dut_syn_with_non_default_mss
TCP_NAGLE_02|no_dut_first_data_segment
TCP_NAGLE_03|no_dut_first_data_segment
TCP_OUT_OF_ORDER_01|no_dut_handshake_ack
TCP_OUT_OF_ORDER_02|no_dut_handshake_ack
TCP_OUT_OF_ORDER_03|no_dut_handshake_ack
TCP_OUT_OF_ORDER_05|no_dut_handshake_ack
TCP_PROBING_WINDOWS_02|no_dut_handshake_ack
TCP_PROBING_WINDOWS_03|no_dut_first_data_segment
TCP_PROBING_WINDOWS_04|no_dut_first_data_segment
TCP_PROBING_WINDOWS_05|no_dut_first_data_segment
TCP_PROBING_WINDOWS_06|no_dut_first_data_segment
TCP_SEQUENCE_01|no_dut_syn_ack_within_listen_window
TCP_SEQUENCE_02|no_dut_ack_to_synack_within_listen_window
TCP_SEQUENCE_03|no_dut_syn_ack_within_listen_window
TCP_SEQUENCE_04|no_dut_syn_ack_within_listen_window
TCP_SEQUENCE_05|no_dut_ack_for_seg1
TCP_UNACCEPTABLE_01|no_dut_synack_to_first_tester_syn
TCP_UNACCEPTABLE_02|no_dut_synack_to_first_tester_syn
TCP_UNACCEPTABLE_03|no_dut_rst_to_unacceptable_ack_in_syn_recv
TCP_UNACCEPTABLE_04|no_dut_handshake_ack_within_listen_window
TCP_UNACCEPTABLE_05|no_dut_rst_to_listen_synack
TCP_UNACCEPTABLE_06|no_dut_handshake_ack_within_listen_window
TCP_UNACCEPTABLE_07|no_dut_rst_to_listen_synack
TCP_UNACCEPTABLE_08|no_dut_rst_phase1_synack_with_unacceptable_ack
TCP_UNACCEPTABLE_09|no_dut_handshake_ack_phase1
TCP_UNACCEPTABLE_10|no_dut_handshake_ack_within_listen_window
TCP_UNACCEPTABLE_11|no_dut_handshake_ack_phase1
TCP_UNACCEPTABLE_12|no_dut_handshake_ack_phase1
TCP_UNACCEPTABLE_13|no_dut_handshake_ack_phase1
TCP_UNACCEPTABLE_14|no_dut_handshake_ack_phase1
TCP_URGENT_PTR_04|no_dut_handshake_ack
UDP_FIELDS_01|no_dut_originated_udp_within_listen_window
UDP_FIELDS_02|no_dut_originated_udp_within_listen_window
UDP_FIELDS_04|no_dut_originated_udp_to_host1_within_listen_window
UDP_FIELDS_05|no_ut_confirmation_for_host1_receipt
UDP_FIELDS_06|no_dut_originated_udp_within_listen_window
UDP_FIELDS_07|no_dut_originated_udp_within_listen_window
UDP_FIELDS_12|no_ut_confirmation_within_listen_window
UDP_FIELDS_13|no_dut_originated_udp_within_listen_window
UDP_FIELDS_14|no_dut_originated_udp_within_listen_window
UDP_INTRODUCTION_03|no_dut_icmp_port_unreachable_within_listen_window
UDP_Padding_02|no_dut_originated_udp_within_listen_window
UDP_USER_INTERFACE_01|no_ut_confirmation_for_create_udp_receive_ports
UDP_USER_INTERFACE_05|no_dut_originated_udp_within_listen_window
UDP_USER_INTERFACE_06|no_dut_originated_udp_within_listen_window
UDP_USER_INTERFACE_07|no_dut_originated_udp_within_listen_window
UDP_USER_INTERFACE_08|no_dut_originated_udp_within_listen_window
